"gender","age","state","left_right_position","most_important_issues_2022","vote_2022"
"Female",54,"Queensland",5,"National security","Liberal"
"Female",63,"Queensland",5,"Health and Medicare","Labor"
"Female",32,"Queensland",5,"Education","Labor"
"Female",83,"Queensland",7,"The cost of living","Liberal"
"Female",29,"Queensland",5,"The cost of living","Liberal"
"Male",52,"Queensland",4,"Global warming","Labor"
"Female",74,"Queensland",5,"Health and Medicare","Liberal"
"Female",89,"Queensland",10,"Item skipped","Liberal"
"Female",37,"Queensland",3,"Global warming","Labor"
"Female",63,"Queensland",7,"The environment","Labor"
"Male",73,"Queensland",8,"Management of the economy","Liberal"
"Female",68,"Queensland",5,"National security","Liberal"
"Male",72,"Queensland",3,"Health and Medicare","Labor"
"Male",78,"Queensland",7,"Management of the economy","Liberal"
"Female",64,"Queensland",6,"Management of the economy","Liberal"
"Female",69,"Queensland",5,"Management of the economy","Labor"
"Male",74,"Queensland",4,"The cost of living","Labor"
"Female",66,"Queensland",8,"The cost of living","Liberal"
"Male",27,"Queensland",5,"The COVID-19 pandemic","Liberal"
"Female",59,"Queensland",5,"The cost of living","Liberal"
"Female",46,"Queensland",0,"The cost of living","Labor"
"Female",59,"Queensland",5,"The cost of living","Labor"
"Male",44,"Queensland",8,"Taxation","Liberal"
"Male",55,"Queensland",8,"Management of the economy","Liberal"
"Female",59,"Queensland",4,"Management of the economy","Labor"
"Male",25,"Queensland",6,"The cost of living","Labor"
"Female",37,"Queensland",5,"The cost of living","Liberal"
"Male",80,"Queensland",8,"Taxation","Liberal"
"Male",75,"Queensland",10,"Education","Liberal"
"Female",75,"South Australia",3,"Refugees and asylum seekers","Labor"
"Female",27,"South Australia",7,"Taxation","Liberal"
"Female",79,"South Australia",0,"Immigration","Labor"
"Male",71,"South Australia",7,"Management of the economy","Liberal"
"Male",63,"South Australia",7,"Management of the economy","Liberal"
"Male",62,"South Australia",5,"The cost of living","Liberal"
"Female",82,"South Australia",5,"Education","Liberal"
"Female",71,"South Australia",4,"Global warming","Labor"
"Female",68,"South Australia",5,"The cost of living","Labor"
"Male",65,"South Australia",8,"Management of the economy","Liberal"
"Male",81,"South Australia",6,"Education","Labor"
"Female",60,"South Australia",2,"Global warming","Labor"
"Male",76,"South Australia",7,"Immigration","Liberal"
"Male",69,"South Australia",3,"Global warming","Labor"
"Male",73,"South Australia",5,"Taxation","Liberal"
"Female",65,"South Australia",10,"Management of the economy","Liberal"
"Male",64,"South Australia",9,"The cost of living","Liberal"
"Female",42,"South Australia",5,"Management of the economy","Labor"
"Female",50,"South Australia",5,"Taxation","Liberal"
"Female",75,"South Australia",0,"Health and Medicare","Labor"
"Female",81,"South Australia",5,"Health and Medicare","Liberal"
"Female",66,"South Australia",2,"Immigration","Labor"
"Female",47,"South Australia",5,"Health and Medicare","Liberal"
"Male",66,"South Australia",5,"Management of the economy","Liberal"
"Female",47,"South Australia",2,"Refugees and asylum seekers","Labor"
"Female",66,"South Australia",5,"Taxation","Labor"
"Male",71,"South Australia",8,"Health and Medicare","Liberal"
"Male",21,"South Australia",9,"Health and Medicare","Liberal"
"Female",66,"South Australia",5,"Health and Medicare","Liberal"
"Female",96,"South Australia",7,"Health and Medicare","Labor"
"Male",44,"South Australia",8,"Health and Medicare","Liberal"
"Male",50,"South Australia",5,"Health and Medicare","Liberal"
"Male",27,"South Australia",3,"The environment","Labor"
"Female",50,"South Australia",5,"The cost of living","Liberal"
"Male",76,"South Australia",6,"Taxation","Liberal"
"Male",27,"South Australia",4,"The cost of living","Labor"
"Female",77,"South Australia",9,"Immigration","Liberal"
"Male",61,"South Australia",2,"Immigration","Labor"
"Female",35,"South Australia",0,"The cost of living","Labor"
"Female",40,"South Australia",5,"The cost of living","Labor"
"Male",41,"South Australia",7,"The cost of living","Labor"
"Male",50,"South Australia",3,"The cost of living","Labor"
"Female",29,"South Australia",5,"The cost of living","Labor"
"Male",59,"South Australia",3,"Immigration","Labor"
"Female",71,"South Australia",5,"The environment","Liberal"
"Male",67,"South Australia",8,"National security","Liberal"
"Male",63,"South Australia",4,"Taxation","Liberal"
"Female",47,"South Australia",5,"Taxation","Liberal"
"Female",51,"South Australia",5,"The cost of living","Labor"
"Male",65,"South Australia",9,"Management of the economy","Liberal"
"Male",96,"South Australia",10,"Taxation","Liberal"
"Female",69,"South Australia",7,"Taxation","Liberal"
"Female",65,"South Australia",6,"Health and Medicare","Liberal"
"Male",64,"South Australia",3,"Health and Medicare","Labor"
"Male",54,"Western Australia",8,"Management of the economy","Liberal"
"Female",33,"Western Australia",5,"The cost of living","Labor"
"Male",60,"Western Australia",6,"Management of the economy","Liberal"
"Female",64,"Western Australia",7,"Health and Medicare","Liberal"
"Female",55,"Western Australia",8,"Health and Medicare","Labor"
"Male",69,"Western Australia",8,"Health and Medicare","Liberal"
"Female",64,"Western Australia",5,"The COVID-19 pandemic","Liberal"
"Female",60,"Western Australia",5,"Management of the economy","Liberal"
"Male",38,"Western Australia",4,"The cost of living","Labor"
"Male",71,"Western Australia",4,"Global warming","Labor"
"Male",80,"Western Australia",9,"Management of the economy","Liberal"
"Male",29,"Western Australia",6,"Taxation","Labor"
"Female",65,"Western Australia",10,"Management of the economy","Liberal"
"Female",44,"Western Australia",5,"Global warming","Labor"
"Male",65,"Western Australia",10,"Management of the economy","Liberal"
"Male",53,"Western Australia",8,"Management of the economy","Liberal"
"Male",67,"Western Australia",6,"National security","Liberal"
"Male",69,"Western Australia",7,"Immigration","Labor"
"Male",65,"Western Australia",5,"Taxation","Labor"
"Male",39,"Western Australia",4,"The cost of living","Labor"
"Male",69,"Western Australia",5,"Health and Medicare","Labor"
"Female",32,"Western Australia",7,"Health and Medicare","Liberal"
"Female",56,"Western Australia",5,"The cost of living","Labor"
"Female",53,"Western Australia",5,"The COVID-19 pandemic","Labor"
"Male",63,"Western Australia",5,"Taxation","Labor"
"Male",33,"Western Australia",6,"The cost of living","Labor"
"Female",33,"Western Australia",2,"The cost of living","Labor"
"Male",66,"Western Australia",10,"Taxation","Liberal"
"Female",63,"Western Australia",9,"Taxation","Liberal"
"Female",58,"Western Australia",8,"National security","Liberal"
"Female",75,"Western Australia",5,"The cost of living","Liberal"
"Male",39,"Western Australia",7,"Management of the economy","Liberal"
"Male",79,"Western Australia",5,"Management of the economy","Labor"
"Male",66,"Western Australia",5,"Global warming","Labor"
"Female",65,"Western Australia",4,"The cost of living","Liberal"
"Male",65,"Western Australia",5,"The COVID-19 pandemic","Labor"
"Female",76,"Western Australia",5,"Health and Medicare","Labor"
"Male",49,"Western Australia",10,"The cost of living","Labor"
"Female",58,"Western Australia",5,"Global warming","Labor"
"Male",62,"Western Australia",2,"Global warming","Labor"
"Male",41,"Western Australia",7,"Management of the economy","Liberal"
"Male",50,"Western Australia",10,"Taxation","Labor"
"Female",24,"Western Australia",6,"The cost of living","Liberal"
"Male",37,"Western Australia",4,"Management of the economy","Labor"
"Male",78,"Western Australia",5,"Management of the economy","Labor"
"Male",40,"Western Australia",6,"The cost of living","Labor"
"Female",61,"Western Australia",3,"Global warming","Labor"
"Female",78,"Western Australia",6,"The COVID-19 pandemic","Labor"
"Female",72,"Western Australia",7,"National security","Liberal"
"Female",39,"Western Australia",5,"Health and Medicare","Labor"
"Female",49,"Western Australia",2,"Global warming","Labor"
"Female",36,"Western Australia",5,"Taxation","Liberal"
"Male",40,"Western Australia",4,"The cost of living","Liberal"
"Female",37,"Western Australia",5,"The cost of living","Labor"
"Female",25,"Western Australia",4,"The cost of living","Labor"
"Female",78,"Western Australia",3,"Health and Medicare","Labor"
"Female",33,"Western Australia",4,"The cost of living","Labor"
"Female",53,"Western Australia",7,"Management of the economy","Liberal"
"Male",39,"Western Australia",0,"Global warming","Labor"
"Female",71,"Western Australia",5,"Immigration","Labor"
"Female",37,"Western Australia",5,"National security","Labor"
"Male",30,"Western Australia",5,"Taxation","Labor"
"Female",42,"Western Australia",7,"The COVID-19 pandemic","Labor"
"Male",67,"Western Australia",8,"The cost of living","Labor"
"Female",31,"Western Australia",3,"Health and Medicare","Labor"
"Female",31,"Western Australia",5,"Management of the economy","Liberal"
"Female",56,"Western Australia",5,"The cost of living","Liberal"
"Male",71,"Western Australia",5,"Taxation","Labor"
"Female",41,"Western Australia",5,"Taxation","Liberal"
"Male",64,"Western Australia",2,"Global warming","Labor"
"Male",49,"Western Australia",5,"Management of the economy","Liberal"
"Male",61,"Western Australia",7,"Taxation","Liberal"
"Male",66,"Western Australia",6,"Management of the economy","Liberal"
"Male",51,"Western Australia",5,"Immigration","Liberal"
"Male",65,"Western Australia",5,"Taxation","Liberal"
"Female",64,"Tasmania",8,"Management of the economy","Liberal"
"Female",63,"Tasmania",8,"The environment","Labor"
"Female",65,"Tasmania",10,"The cost of living","Liberal"
"Female",78,"Tasmania",5,"Health and Medicare","Liberal"
"Male",44,"Tasmania",8,"Refugees and asylum seekers","Liberal"
"Female",74,"Tasmania",5,"Global warming","Labor"
"Female",64,"Tasmania",5,"Education","Liberal"
"Female",56,"Tasmania",7,"Immigration","Liberal"
"Female",90,"Tasmania",3,"Education","Labor"
"Male",68,"Tasmania",5,"The environment","Liberal"
"Female",33,"Northern Territory",3,"Health and Medicare","Labor"
"Female",40,"Northern Territory",3,"Education","Labor"
"Female",34,"Northern Territory",6,"Taxation","Labor"
"Female",64,"Northern Territory",4,"Global warming","Labor"
"Female",67,"Northern Territory",2,"Immigration","Labor"
"Female",47,"Northern Territory",8,"National security","Liberal"
"Female",28,"Northern Territory",3,"The cost of living","Liberal"
"Female",51,"Australian Capital Territory",4,"Global warming","Labor"
"Female",64,"Australian Capital Territory",3,"Global warming","Labor"
"Female",58,"Australian Capital Territory",7,"Management of the economy","Liberal"
"Female",72,"Australian Capital Territory",5,"Management of the economy","Liberal"
"Female",53,"Australian Capital Territory",5,"The environment","Liberal"
"Female",58,"Australian Capital Territory",6,"Management of the economy","Liberal"
"Female",58,"Australian Capital Territory",0,"Global warming","Labor"
"Female",41,"Australian Capital Territory",5,"The environment","Labor"
"Female",35,"Australian Capital Territory",5,"Health and Medicare","Liberal"
"Male",40,"Australian Capital Territory",5,"National security","Labor"
"Male",33,"Australian Capital Territory",3,"Taxation","Labor"
"Male",50,"Australian Capital Territory",5,"The COVID-19 pandemic","Liberal"
"Male",41,"Australian Capital Territory",5,"The cost of living","Liberal"
"Female",25,"Australian Capital Territory",1,"The cost of living","Labor"
"Female",78,"Australian Capital Territory",2,"The environment","Labor"
"Male",72,"Australian Capital Territory",3,"Item skipped","Labor"
"Female",81,"Australian Capital Territory",8,"Management of the economy","Liberal"
"Male",53,"Australian Capital Territory",1,"The cost of living","Labor"
"Male",87,"Australian Capital Territory",8,"Immigration","Liberal"
"Male",76,"Australian Capital Territory",6,"Global warming","Labor"
"Female",40,"Australian Capital Territory",7,"The cost of living","Labor"
"Female",40,"Australian Capital Territory",2,"The environment","Labor"
"Female",51,"Australian Capital Territory",3,"National security","Liberal"
"Female",65,"Northern Territory",5,"The cost of living","Liberal"
"Female",61,"Northern Territory",5,"Global warming","Labor"
"Male",87,"New South Wales",5,"The environment","Labor"
"Male",87,"New South Wales",10,"Taxation","Liberal"
"Male",80,"New South Wales",5,"Global warming","Labor"
"Female",68,"New South Wales",5,"Education","Liberal"
"Female",64,"New South Wales",3,"Management of the economy","Labor"
"Male",75,"New South Wales",5,"Health and Medicare","Liberal"
"Male",60,"New South Wales",5,"The cost of living","Labor"
"Female",68,"New South Wales",5,"The cost of living","Labor"
"Female",63,"New South Wales",6,"Management of the economy","Labor"
"Male",79,"New South Wales",7,"Health and Medicare","Labor"
"Female",81,"New South Wales",5,"Management of the economy","Liberal"
"Female",70,"New South Wales",0,"The environment","Labor"
"Male",57,"New South Wales",5,"Management of the economy","Liberal"
"Male",75,"New South Wales",4,"The cost of living","Liberal"
"Female",76,"New South Wales",8,"Management of the economy","Liberal"
"Female",60,"New South Wales",2,"The cost of living","Labor"
"Male",55,"New South Wales",5,"Taxation","Liberal"
"Female",67,"New South Wales",5,"Health and Medicare","Labor"
"Female",65,"New South Wales",4,"Global warming","Labor"
"Female",68,"New South Wales",5,"The cost of living","Labor"
"Female",72,"New South Wales",6,"Management of the economy","Liberal"
"Male",47,"New South Wales",3,"The cost of living","Liberal"
"Male",56,"New South Wales",3,"The cost of living","Labor"
"Female",69,"New South Wales",6,"Education","Labor"
"Female",76,"New South Wales",1,"The environment","Labor"
"Male",66,"New South Wales",4,"Education","Labor"
"Male",59,"New South Wales",5,"Management of the economy","Liberal"
"Male",72,"New South Wales",4,"Education","Labor"
"Male",65,"New South Wales",8,"Management of the economy","Liberal"
"Male",87,"New South Wales",6,"Immigration","Labor"
"Female",60,"New South Wales",5,"The cost of living","Liberal"
"Male",53,"New South Wales",7,"Taxation","Liberal"
"Male",55,"New South Wales",5,"Global warming","Labor"
"Male",58,"New South Wales",4,"Item skipped","Labor"
"Female",51,"New South Wales",3,"The environment","Labor"
"Female",56,"New South Wales",1,"Education","Labor"
"Female",82,"New South Wales",6,"The COVID-19 pandemic","Liberal"
"Male",75,"New South Wales",8,"Management of the economy","Liberal"
"Female",45,"New South Wales",3,"The cost of living","Labor"
"Male",54,"New South Wales",5,"Health and Medicare","Labor"
"Female",76,"New South Wales",10,"Management of the economy","Liberal"
"Male",69,"New South Wales",10,"Management of the economy","Liberal"
"Male",59,"New South Wales",0,"The environment","Labor"
"Male",77,"New South Wales",5,"The cost of living","Labor"
"Male",50,"New South Wales",6,"Management of the economy","Liberal"
"Male",49,"New South Wales",9,"The cost of living","Liberal"
"Female",62,"New South Wales",10,"Management of the economy","Liberal"
"Female",62,"Australian Capital Territory",3,"Global warming","Labor"
"Male",71,"New South Wales",5,"Health and Medicare","Liberal"
"Female",62,"New South Wales",0,"National security","Labor"
"Male",27,"New South Wales",4,"Global warming","Labor"
"Male",59,"New South Wales",2,"Global warming","Labor"
"Male",66,"New South Wales",7,"National security","Liberal"
"Male",71,"New South Wales",5,"National security","Liberal"
"Male",64,"New South Wales",7,"The cost of living","Liberal"
"Female",26,"New South Wales",4,"Health and Medicare","Labor"
"Female",26,"New South Wales",1,"Health and Medicare","Labor"
"Male",88,"New South Wales",7,"Refugees and asylum seekers","Liberal"
"Male",77,"New South Wales",5,"National security","Liberal"
"Female",60,"New South Wales",5,"The cost of living","Labor"
"Male",42,"New South Wales",4,"Global warming","Labor"
"Male",24,"New South Wales",0,"Management of the economy","Labor"
"Male",76,"New South Wales",5,"Global warming","Labor"
"Male",71,"New South Wales",2,"Refugees and asylum seekers","Labor"
"Male",39,"New South Wales",3,"Health and Medicare","Labor"
"Male",79,"New South Wales",3,"Global warming","Labor"
"Male",33,"New South Wales",3,"Global warming","Labor"
"Male",61,"New South Wales",4,"Management of the economy","Labor"
"Female",67,"New South Wales",5,"The COVID-19 pandemic","Liberal"
"Male",30,"New South Wales",1,"The cost of living","Labor"
"Female",65,"New South Wales",3,"Global warming","Labor"
"Male",48,"New South Wales",2,"Education","Labor"
"Female",67,"New South Wales",4,"The cost of living","Labor"
"Female",59,"New South Wales",5,"National security","Liberal"
"Male",66,"New South Wales",5,"Global warming","Labor"
"Female",48,"New South Wales",4,"Health and Medicare","Labor"
"Female",72,"New South Wales",3,"Refugees and asylum seekers","Labor"
"Male",71,"New South Wales",7,"Management of the economy","Liberal"
"Female",70,"Queensland",7,"Health and Medicare","Liberal"
"Male",82,"Queensland",6,"Management of the economy","Liberal"
"Male",79,"Queensland",6,"National security","Liberal"
"Male",74,"Queensland",4,"The environment","Labor"
"Male",78,"Queensland",5,"National security","Liberal"
"Female",68,"Queensland",1,"Global warming","Labor"
"Male",63,"Queensland",5,"Management of the economy","Liberal"
"Female",81,"Queensland",6,"Health and Medicare","Labor"
"Male",68,"Queensland",3,"Management of the economy","Labor"
"Female",57,"Queensland",4,"National security","Labor"
"Male",71,"Queensland",8,"Management of the economy","Liberal"
"Male",69,"Queensland",4,"Management of the economy","Labor"
"Male",53,"Queensland",5,"Global warming","Labor"
"Male",74,"Queensland",5,"Management of the economy","Liberal"
"Male",76,"Queensland",8,"National security","Liberal"
"Male",74,"Queensland",7,"National security","Liberal"
"Male",74,"Queensland",6,"Management of the economy","Liberal"
"Male",57,"Queensland",8,"Management of the economy","Liberal"
"Female",72,"Queensland",8,"The COVID-19 pandemic","Labor"
"Female",85,"Queensland",3,"The cost of living","Labor"
"Female",55,"Queensland",6,"National security","Liberal"
"Male",76,"Queensland",9,"National security","Liberal"
"Female",73,"Queensland",8,"Management of the economy","Liberal"
"Male",59,"Queensland",9,"The cost of living","Liberal"
"Male",70,"Queensland",8,"Refugees and asylum seekers","Liberal"
"Female",57,"Queensland",5,"The environment","Labor"
"Male",80,"Queensland",9,"Taxation","Liberal"
"Female",54,"Queensland",5,"Health and Medicare","Labor"
"Female",51,"Queensland",7,"National security","Liberal"
"Female",49,"Queensland",4,"The cost of living","Labor"
"Male",68,"Queensland",8,"National security","Liberal"
"Male",69,"Queensland",7,"Global warming","Liberal"
"Female",65,"Queensland",2,"Health and Medicare","Labor"
"Female",73,"Queensland",0,"Global warming","Labor"
"Female",41,"Queensland",6,"Refugees and asylum seekers","Liberal"
"Female",71,"Queensland",4,"The environment","Liberal"
"Female",86,"Queensland",5,"Taxation","Liberal"
"Female",70,"Queensland",1,"Global warming","Labor"
"Male",85,"Queensland",5,"The cost of living","Labor"
"Male",90,"Queensland",0,"Taxation","Labor"
"Male",58,"Queensland",5,"Global warming","Liberal"
"Female",73,"Queensland",8,"National security","Liberal"
"Female",71,"Queensland",4,"The environment","Labor"
"Male",60,"Queensland",5,"Management of the economy","Liberal"
"Male",73,"Queensland",4,"The cost of living","Labor"
"Female",76,"Queensland",9,"Health and Medicare","Liberal"
"Male",42,"Queensland",6,"The cost of living","Liberal"
"Female",72,"Queensland",6,"Management of the economy","Labor"
"Female",69,"Queensland",2,"Health and Medicare","Labor"
"Female",59,"South Australia",2,"Taxation","Labor"
"Female",74,"South Australia",1,"Global warming","Labor"
"Male",70,"South Australia",4,"The COVID-19 pandemic","Labor"
"Male",53,"South Australia",5,"The cost of living","Labor"
"Female",64,"South Australia",6,"Health and Medicare","Liberal"
"Female",67,"South Australia",5,"The environment","Labor"
"Female",64,"South Australia",5,"Management of the economy","Liberal"
"Female",72,"South Australia",5,"Health and Medicare","Labor"
"Female",73,"South Australia",4,"National security","Liberal"
"Male",73,"South Australia",9,"Management of the economy","Liberal"
"Female",48,"South Australia",5,"Item skipped","Labor"
"Male",48,"South Australia",6,"The cost of living","Labor"
"Male",71,"South Australia",8,"National security","Liberal"
"Female",39,"South Australia",3,"Health and Medicare","Labor"
"Male",73,"South Australia",6,"Taxation","Liberal"
"Female",29,"South Australia",5,"The cost of living","Liberal"
"Female",66,"South Australia",1,"The cost of living","Labor"
"Male",45,"South Australia",5,"The cost of living","Liberal"
"Male",93,"South Australia",5,"Immigration","Labor"
"Female",48,"South Australia",6,"Health and Medicare","Labor"
"Female",31,"South Australia",8,"Management of the economy","Liberal"
"Female",44,"South Australia",6,"The cost of living","Liberal"
"Female",42,"South Australia",4,"Global warming","Labor"
"Male",73,"South Australia",3,"The cost of living","Labor"
"Female",59,"South Australia",1,"Refugees and asylum seekers","Labor"
"Female",56,"South Australia",10,"Management of the economy","Liberal"
"Male",85,"Tasmania",7,"Health and Medicare","Liberal"
"Female",59,"Tasmania",1,"The COVID-19 pandemic","Labor"
"Male",61,"Tasmania",5,"National security","Liberal"
"Female",54,"Tasmania",5,"The cost of living","Labor"
"Male",73,"Tasmania",4,"The cost of living","Labor"
"Male",68,"Tasmania",3,"Management of the economy","Labor"
"Female",31,"Tasmania",4,"The environment","Labor"
"Male",74,"Tasmania",7,"Management of the economy","Liberal"
"Male",86,"Victoria",5,"National security","Labor"
"Male",74,"Victoria",8,"Management of the economy","Liberal"
"Male",83,"Victoria",10,"The environment","Liberal"
"Male",87,"Victoria",4,"Global warming","Labor"
"Female",72,"Victoria",8,"Management of the economy","Liberal"
"Female",75,"Victoria",5,"The cost of living","Labor"
"Female",69,"Victoria",4,"Management of the economy","Liberal"
"Male",75,"Victoria",2,"The environment","Labor"
"Female",65,"Victoria",3,"The cost of living","Labor"
"Male",78,"Victoria",1,"Education","Labor"
"Male",76,"Victoria",1,"Global warming","Labor"
"Female",70,"Victoria",8,"Management of the economy","Liberal"
"Male",70,"Victoria",5,"The cost of living","Labor"
"Male",75,"Victoria",3,"Global warming","Labor"
"Male",66,"Victoria",5,"The cost of living","Labor"
"Male",67,"Victoria",7,"National security","Liberal"
"Female",71,"Victoria",5,"The cost of living","Liberal"
"Female",67,"Victoria",5,"Immigration","Liberal"
"Female",84,"Victoria",5,"Management of the economy","Liberal"
"Female",62,"Victoria",2,"Global warming","Labor"
"Male",81,"Victoria",8,"The cost of living","Liberal"
"Female",65,"Victoria",6,"Management of the economy","Liberal"
"Male",68,"Victoria",8,"Management of the economy","Liberal"
"Male",84,"Victoria",1,"The environment","Labor"
"Female",75,"Victoria",1,"Health and Medicare","Labor"
"Male",65,"Victoria",7,"Health and Medicare","Liberal"
"Male",72,"Victoria",5,"The COVID-19 pandemic","Liberal"
"Male",37,"Victoria",5,"The cost of living","Labor"
"Male",66,"Victoria",4,"The cost of living","Liberal"
"Male",84,"Victoria",3,"Global warming","Labor"
"Female",80,"Victoria",5,"Health and Medicare","Liberal"
"Male",76,"Victoria",4,"Global warming","Labor"
"Male",68,"Victoria",5,"Health and Medicare","Liberal"
"Female",78,"Victoria",5,"Health and Medicare","Liberal"
"Female",41,"Victoria",3,"The cost of living","Labor"
"Female",73,"Victoria",0,"The environment","Labor"
"Male",73,"Victoria",6,"The cost of living","Liberal"
"Female",70,"Victoria",3,"Health and Medicare","Labor"
"Female",74,"Victoria",2,"Global warming","Labor"
"Female",69,"Victoria",4,"Health and Medicare","Labor"
"Female",66,"Victoria",8,"Immigration","Liberal"
"Male",72,"Victoria",6,"Management of the economy","Liberal"
"Male",55,"Victoria",8,"Management of the economy","Liberal"
"Male",80,"Victoria",9,"Education","Liberal"
"Male",72,"Victoria",4,"Global warming","Labor"
"Female",79,"Victoria",5,"Management of the economy","Liberal"
"Male",49,"Victoria",7,"The cost of living","Liberal"
"Female",53,"Victoria",8,"Management of the economy","Liberal"
"Female",43,"Victoria",8,"National security","Liberal"
"Female",30,"Victoria",5,"The cost of living","Liberal"
"Male",72,"Victoria",8,"Taxation","Liberal"
"Male",77,"Victoria",8,"Management of the economy","Liberal"
"Male",73,"Victoria",7,"Health and Medicare","Liberal"
"Male",70,"Victoria",5,"Management of the economy","Liberal"
"Male",52,"Victoria",2,"The cost of living","Labor"
"Male",34,"Victoria",3,"Health and Medicare","Labor"
"Female",46,"Victoria",6,"Taxation","Labor"
"Female",44,"Victoria",6,"Health and Medicare","Labor"
"Male",80,"Victoria",8,"Education","Liberal"
"Female",48,"Victoria",2,"Global warming","Labor"
"Male",37,"Victoria",2,"Health and Medicare","Labor"
"Male",53,"Victoria",5,"The cost of living","Liberal"
"Male",61,"Victoria",7,"Global warming","Liberal"
"Male",72,"Victoria",8,"Management of the economy","Liberal"
"Male",41,"Victoria",6,"The cost of living","Labor"
"Male",69,"Western Australia",5,"The cost of living","Labor"
"Male",69,"Western Australia",2,"Management of the economy","Labor"
"Male",62,"Western Australia",4,"Health and Medicare","Labor"
"Female",69,"Western Australia",3,"Global warming","Labor"
"Male",44,"Western Australia",5,"Management of the economy","Labor"
"Female",49,"Western Australia",5,"The cost of living","Liberal"
"Female",77,"Western Australia",6,"Management of the economy","Liberal"
"Male",63,"Western Australia",5,"Management of the economy","Labor"
"Female",63,"Western Australia",5,"Management of the economy","Liberal"
"Male",86,"Western Australia",8,"Health and Medicare","Liberal"
"Male",68,"Western Australia",2,"Health and Medicare","Labor"
"Male",52,"Western Australia",2,"The cost of living","Labor"
"Female",48,"Australian Capital Territory",3,"The cost of living","Labor"
"Male",82,"Australian Capital Territory",4,"Global warming","Labor"
"Female",75,"Australian Capital Territory",0,"Health and Medicare","Labor"
"Male",63,"Australian Capital Territory",3,"Health and Medicare","Labor"
"Female",62,"Australian Capital Territory",4,"Global warming","Labor"
"Female",49,"New South Wales",9,"Refugees and asylum seekers","Labor"
"Male",87,"Australian Capital Territory",8,"The COVID-19 pandemic","Liberal"
"Female",52,"Australian Capital Territory",2,"The cost of living","Labor"
"Female",38,"Australian Capital Territory",4,"The cost of living","Labor"
"Female",36,"Australian Capital Territory",1,"The environment","Labor"
"Female",40,"Australian Capital Territory",2,"Global warming","Labor"
"Male",60,"Australian Capital Territory",5,"Management of the economy","Liberal"
"Male",66,"New South Wales",5,"Management of the economy","Liberal"
"Female",73,"New South Wales",3,"The environment","Labor"
"Female",68,"New South Wales",6,"Health and Medicare","Liberal"
"Male",73,"New South Wales",3,"Taxation","Liberal"
"Male",70,"New South Wales",5,"The cost of living","Liberal"
"Male",64,"New South Wales",8,"Management of the economy","Liberal"
"Male",71,"New South Wales",4,"The cost of living","Labor"
"Male",90,"New South Wales",4,"Management of the economy","Liberal"
"Male",71,"New South Wales",6,"Management of the economy","Liberal"
"Male",56,"New South Wales",6,"Management of the economy","Liberal"
"Female",73,"New South Wales",0,"Health and Medicare","Labor"
"Male",38,"New South Wales",6,"Global warming","Labor"
"Male",52,"New South Wales",0,"Health and Medicare","Labor"
"Female",27,"New South Wales",3,"The cost of living","Labor"
"Male",50,"New South Wales",2,"Global warming","Labor"
"Female",65,"New South Wales",1,"The environment","Labor"
"Female",79,"New South Wales",5,"Management of the economy","Liberal"
"Female",44,"New South Wales",9,"National security","Liberal"
"Female",64,"New South Wales",4,"The environment","Liberal"
"Female",51,"New South Wales",0,"Global warming","Labor"
"Female",51,"New South Wales",1,"Education","Labor"
"Male",62,"New South Wales",5,"The environment","Labor"
"Female",74,"New South Wales",5,"The cost of living","Labor"
"Female",69,"New South Wales",9,"Management of the economy","Liberal"
"Male",71,"New South Wales",6,"Management of the economy","Liberal"
"Female",31,"New South Wales",5,"The cost of living","Labor"
"Female",68,"New South Wales",3,"Global warming","Labor"
"Male",67,"New South Wales",3,"Global warming","Labor"
"Male",66,"New South Wales",7,"Global warming","Labor"
"Female",70,"New South Wales",5,"Global warming","Labor"
"Male",71,"New South Wales",2,"Global warming","Labor"
"Female",73,"New South Wales",7,"National security","Liberal"
"Male",65,"New South Wales",2,"Global warming","Labor"
"Male",77,"New South Wales",6,"Management of the economy","Liberal"
"Male",76,"New South Wales",6,"Health and Medicare","Liberal"
"Female",42,"New South Wales",6,"The cost of living","Liberal"
"Female",45,"New South Wales",0,"The cost of living","Labor"
"Male",62,"New South Wales",2,"Management of the economy","Labor"
"Male",75,"New South Wales",6,"Management of the economy","Liberal"
"Female",62,"New South Wales",4,"Management of the economy","Labor"
"Female",78,"New South Wales",2,"The COVID-19 pandemic","Labor"
"Female",56,"New South Wales",6,"The cost of living","Labor"
"Female",42,"New South Wales",4,"Health and Medicare","Labor"
"Male",41,"New South Wales",6,"Management of the economy","Liberal"
"Female",75,"New South Wales",0,"Global warming","Labor"
"Male",63,"New South Wales",5,"Management of the economy","Labor"
"Female",85,"New South Wales",3,"Global warming","Labor"
"Male",61,"New South Wales",7,"Education","Labor"
"Female",68,"New South Wales",1,"The cost of living","Labor"
"Male",74,"New South Wales",9,"Management of the economy","Liberal"
"Male",66,"New South Wales",6,"Management of the economy","Liberal"
"Female",54,"New South Wales",3,"The environment","Labor"
"Male",70,"New South Wales",6,"Health and Medicare","Labor"
"Male",80,"New South Wales",7,"Health and Medicare","Liberal"
"Female",78,"New South Wales",5,"Management of the economy","Labor"
"Male",67,"New South Wales",5,"Management of the economy","Labor"
"Male",29,"New South Wales",0,"The cost of living","Labor"
"Female",88,"New South Wales",6,"Education","Liberal"
"Male",50,"New South Wales",5,"The cost of living","Labor"
