"B_COUNTRY_ALPHA","Q121","country"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",2,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",-2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",1,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",-2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",-2,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",1,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",1,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",1,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",1,"CHN"
"CHN",5,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",-1,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",-1,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",1,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",3,"CHN"
"CHN",-2,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",1,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",-2,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",-1,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",-1,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",5,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",2,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",3,"CHN"
"CHN",3,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",4,"CHN"
"CHN",5,"CHN"
"CHN",5,"CHN"
"CHN",2,"CHN"
"CHN",3,"CHN"
